Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
7/26/2016,"2,348","11,792",5.02,0,647,242,11,21,"1,078"
7/27/2016,"2,226","9,048",3.89,0,673,220,31,13,944
7/28/2016,"2,285","10,112",4.46,0,723,259,11,1,"1,001"
7/29/2016,"2,473","13,662",5.82,0,720,245,21,38,"1,229"
7/30/2016,"2,301","10,438",4.44,0,623,249,12,24,"1,051"
7/31/2016,"2,056","7,073",3.01,0,648,218,0,0,756
8/1/2016,"2,120","7,851",3.34,0,722,215,7,1,789
8/2/2016,"2,336","11,878",5.21,0,699,225,1,23,"1,036"
8/3/2016,"2,255","10,011",4.41,0,692,236,4,2,934
8/4/2016,"2,251","9,850",4.19,0,714,249,7,2,958
8/5/2016,"2,196","8,430",3.59,0,725,260,0,0,899
8/6/2016,"2,105","7,019",2.99,0,659,240,7,1,817
8/7/2016,"2,100","7,554",3.21,0,622,235,6,0,815
8/8/2016,"2,097","7,462",3.18,0,624,214,9,0,781
8/9/2016,"2,151","7,503",3.19,0,711,271,0,0,879
8/10/2016,"2,110","7,315",3.11,0,647,235,9,0,813
8/11/2016,"2,317","11,442",5.31,3,655,186,25,42,"1,035"
8/12/2016,"2,127","7,254",3.09,0,659,247,0,0,828
8/13/2016,"2,106","7,215",3.07,0,684,238,0,0,798
8/14/2016,"2,325","10,742",4.95,4,679,236,6,43,"1,082"
8/15/2016,"2,087","7,088",3.02,0,651,226,4,2,777
8/16/2016,"2,167","7,578",3.23,0,633,278,0,0,897
8/17/2016,"2,310","11,105",5.4,18,631,177,34,42,"1,033"
8/18/2016,"2,120","7,398",3.15,0,646,239,16,1,842
8/19/2016,"2,657","16,901",7.78,5,551,188,38,86,"1,430"
8/20/2016,"2,128","7,378",3.14,0,660,254,0,0,840
8/21/2016,"2,269","9,931",4.92,4,627,195,5,39,974
8/22/2016,"2,106","7,464",3.18,0,628,224,8,1,794
8/23/2016,"2,307","10,617",5.45,3,630,184,5,42,996
8/24/2016,"2,121","7,171",3.05,0,584,240,9,0,823
8/25/2016,"2,348","11,626",5.46,8,689,201,22,33,"1,063"
8/26/2016,"2,138","7,581",3.23,0,719,235,6,0,827
8/27/2016,"2,319","10,180",4.33,0,584,333,0,0,"1,122"
8/28/2016,"2,392","11,639",5.51,3,562,260,3,39,"1,168"
8/29/2016,"2,241","9,222",4.09,0,617,240,7,10,951
8/30/2016,"2,335","11,012",5.39,3,647,184,9,45,"1,029"
8/31/2016,"2,212","9,503",4.14,0,654,165,19,36,887
9/1/2016,"2,319","10,822",5.21,0,657,213,3,42,"1,040"
9/2/2016,"2,316","10,122",4.31,0,644,252,17,26,"1,060"
9/3/2016,"2,244","9,890",4.21,0,680,230,29,13,983
9/4/2016,"2,347","10,959",5.32,5,619,218,7,37,"1,071"
9/5/2016,"2,182","8,061",3.43,0,563,246,15,12,917
9/6/2016,"2,264","8,803",3.75,0,607,297,8,1,"1,016"
9/7/2016,"2,362","11,015",5.53,2,646,218,2,41,"1,078"
9/8/2016,"2,164","7,549",3.21,0,691,227,18,1,841
9/9/2016,"2,194","7,674",3.27,0,554,290,6,0,950
9/10/2016,"2,467","12,467",5.31,0,873,282,25,20,"1,227"
9/11/2016,"2,238","7,619",3.24,0,799,304,6,2,987
9/12/2016,"2,264","9,236",3.93,0,623,232,22,27,999
9/13/2016,"2,876","19,993",8.77,0,606,244,48,100,"1,729"
9/14/2016,"2,577","15,512",6.6,0,863,215,78,48,"1,380"
9/15/2016,"2,596","15,316",6.52,0,592,257,52,39,"1,395"
9/16/2016,"2,261","8,383",3.57,0,833,306,0,0,"1,003"
9/17/2016,"2,138","7,304",3.11,0,800,237,7,3,831
9/18/2016,"2,042","7,075",3.01,0,588,199,0,0,715
9/19/2016,"2,126","7,344",3.13,0,695,257,0,0,849
9/20/2016,"2,219","9,477",4.9,0,766,137,6,50,863
9/21/2016,"2,176","7,550",3.21,2,667,218,11,3,833
9/22/2016,"2,427","11,635",5.84,3,686,202,18,54,"1,159"
9/23/2016,"2,103","7,550",3.21,0,668,207,12,3,782
9/24/2016,"2,342","11,255",5.59,7,622,212,1,41,"1,066"
9/25/2016,"2,093","7,396",3.15,0,595,217,9,0,783
9/26/2016,"2,363","11,408",5.87,4,678,202,5,43,"1,073"
9/27/2016,"2,105","7,509",3.2,0,618,206,3,6,774
9/28/2016,"2,345","11,170",5.78,2,726,179,14,41,"1,031"
9/29/2016,"2,139","8,144",3.47,0,694,253,0,0,882
9/30/2016,"2,334","12,305",6.23,7,700,195,7,44,"1,114"
10/1/2016,"2,025","7,384",3.14,0,646,207,0,0,749
10/2/2016,"2,063","7,903",3.36,0,682,182,10,22,805
10/3/2016,"2,117","8,361",3.7,0,663,207,4,18,870
10/4/2016,"2,047","7,558",3.22,0,670,189,2,18,775
10/5/2016,"2,128","8,919",3.84,0,726,182,3,31,859
10/6/2016,"2,098","8,323",3.55,0,717,197,5,21,843
10/7/2016,"2,087","8,479",3.61,0,660,190,2,23,834
10/8/2016,"2,059","8,272",3.52,0,663,178,3,19,780
